Політехнічний ліцей (5-9 класи)
Політехнічний ліцей (1-4 класи)
Ліцей «Престиж»
Русановський ліцей
Спортивний ліцей-інтернат
Технічний ліцей
Технічний ліцей НТУУ «КПІ»
Ліцей туризму
Ліцей «Універсум»
Військовий ліцей
Юридичний ліцей
Гімназія №1
НВК №30
Гімназія №32
Гімназія №33
Гімназія №34
Гімназія №39
Гімназія №48
Гімназія №56
Гімназія №59
Гімназія №86
Гімназія №107
Гімназія №109
Гімназія №117
Гімназія №123
Гімназія №136
Гімназія №143
Гімназія №153
Гїмназїя №154
Гімназія №167
"Гімназія № «Нивки»"
Гімназія №176
Гімназія №177
Гімназія №178
Гімназія №179
Гімназія №183
Гімназія №191
Гімназія №237
Гімназія «Синьоозерна» №257
Гімназія №261
Гімназія №267
Гімназія №283
Гімназія №287
Гімназія №290
Гімназія №315
Гімназія «Міленіум» №318
Гімназія №323
Гімназія «Академія»
Александрійська гімназія
Гімназія «Апогей»
Гімназія «Діалог»
Гімназія «Дитяча інженерна академія»
Гімназія «Ерудит»
Гімназія «Євроленд»
Гімназія «Європейська освіта»
Гімназія «Європа»
Гімназія «Гармонія»
Гімназія №75
Гімназія «Грейс»
Хореографічна гімназія «Кияночка»
Київська інженерна гімназія
Гімназія «Києво-Могилянський колегіум»
Гімназія «Київська Русь»
Гімназія «Межигірська»
Гімназія НПУ ім. М. П. Драгоманова
Гімназія «Оболонь»
Гімназія «Потенціал»
Гімназія «Прєм'єр»
Гімназія «Престиж»
Гімназія «Пріоритет»
Скандинавська гімназія
Слов'янська гїмназїя
Гімназія «Столиця» КАН
Гімназія «Троєщина»
Гімназія-інтернат №13
Гімназія-інтернат №299
Лінгвістична гімназія
НВК №240
НВК «Барвінок»
Школа- садок «Берегиня»
Школа-садок «Дивоцвіт»
НВК «Деснянка»
НВК «Діамант»
НВК «Домінанта»
Школа-садок «Довіра»
Школа-садок «Дитина з майбутнім»
Школа-садок «Перлина» (на Гонгадзе)
Школа-садок «Калинка»
НВК «Київські каштани»
Школа-садок «Кияночка»
Школа-садок «Ластівка»
НВК «Лісові дзвіночки»
НВК «Лілея»
НВК «Материнка»
НВК «Монтессорі»
НВК «Мрія»
Школа-садок «Перевесло»
Школа-садок «Перлина» (на Ушинського)
Школа-дитячий садок «Пізнайко»
НВК «Перша ластівка»
Школа-садок «Позняки»
Школа-садок «Пролісок»
НВК «Престиж»
Школа - дитячий садок «Радість»
Школа-садок «Радосінь»
Школа-садок «Веселка»
Школа-садок «Ромашка»
Школа-садок «Струмочок»
Школа -дитячий садок «Сяйво»
Школа-садок «Славута»
Школа-садок «Сонечко»
НВК «Святошинська гімназія»
Школа-садок «Світозар»
НВК «Усмішка»
НВК «Європейська школа Михайло І-ІІІ ст.»
